Formula,temperature,seebeck_coefficient,electrical_conductivity,thermal_conductivity,power_factor,ZT
Ag0.15Sb0.15Te1.15Ge0.85,300,79,1440,1.499,0.000891,0.18
Ag0.15Sb0.15Te1.15Ge0.85,400,122,1180,1.531,0.00176,0.46
Ag0.15Sb0.15Te1.15Ge0.85,700,199,824,1.651,0.00326,1.38
Ag1.0Cr1.0Se2.0,300,279,22.4,0.956,0.000175,0.05
Ag1.0Cr1.0Se2.0,400,300,24.9,0.4,0.000224,0.22
Ag1.0Cr1.0Se2.0,700,307,30.4,0.206,0.000286,0.97
Ag9.0Tl1.0Te5.0,300,388,3.931,0.2,0.0000592,0.09
Ag9.0Tl1.0Te5.0,400,327,12,0.21,0.000129,0.24
Ag9.0Tl1.0Te5.0,700,311,37.9,0.2,0.000366,1.28
Bi2.0Te3.0,300,162,1820,1.468,0.00477,0.98
Bi2.0Te3.0,300,-174,2220,4.017,0.00673,0.5
Cu1.98Se1.0,300,62,1650,1.25,0.000644,0.15
Cu1.98Se1.0,400,64,1390,1.73,0.000573,0.13
Cu1.98Se1.0,700,129,662,1.45,0.0011,0.53
Cu2.0Se1.0,300,90,1000,0.97,0.00081,0.25
Cu2.0Se1.0,400,107,621,1.04,0.000711,0.27
Cu2.0Se1.0,700,201,238,0.915,0.000962,0.74
K2.0Bi8.0Se13.0,300,-196,30.8,1.285,0.000119,0.03
La2.74Te4.0,300,-41,370,1.24,0.0000623,0.02
La2.74Te4.0,400,-89,373,1.17,0.000296,0.1
La2.74Te4.0,700,-159,235,1,0.000595,0.42
La2.99Te4.0,300,-41,1640,2.46,0.000274,0.03
La2.99Te4.0,400,-42,1640,2.605,0.000284,0.04
La2.99Te4.0,700,-58,1250,2.84,0.000414,0.1
La3.0Te3.35Bi0.65,300,-71,141,1.967,0.000071,0.01
La3.0Te3.35Bi0.65,400,-70,187,1.83,0.0000903,0.02
La3.0Te3.35Bi0.65,700,-131,229,1.56,0.00039,0.18
La3.0Te3.35Sb0.65,300,-91,55.6,1.47,0.000046,0.00939
La3.0Te3.35Sb0.65,400,-90,741,1.36,0.000599,0.18
La3.0Te3.35Sb0.65,700,-159,139,1.17,0.000352,0.21
La3.0Te3.65Sb0.35,300,-53,909,2.05,0.000255,0.04
La3.0Te3.65Sb0.35,400,-58,730,2.06,0.000246,0.05
La3.0Te3.65Sb0.35,700,-87,535,1.98,0.000407,0.14
La3.0Te3.8Sb0.2,300,-45,1890,2.402,0.000382,0.05
La3.0Te3.8Sb0.2,400,-47,1700,2.58,0.000369,0.06
La3.0Te3.8Sb0.2,700,-68,1250,2.72,0.00057,0.15
Mo3.0Te4.0,300,4,1410,3.812,0.00000235,0.000185
Mo3.0Te4.0,400,8,1390,3.912,0.00000783,0.000801
Mo3.0Te4.0,700,17,1400,4.452,0.0000384,0.00603
Mo6.0Te6.0S2.0,300,6,1170,2.125,0.00000463,0.000654
Mo6.0Te6.0S2.0,400,8,1130,2.374,0.00000733,0.00123
Mo6.0Te6.0S2.0,700,12,1060,2.931,0.0000144,0.00345
Mo6.0Te7.0S1.0,300,3,1300,2.773,0.00000146,0.000158
Mo6.0Te7.0S1.0,400,5,1280,3.097,0.00000384,0.000495
Mo6.0Te7.0S1.0,700,14,1220,3.978,0.0000239,0.00421
Na0.02Pb1.0Te0.75Se0.25,300,59,1950,2.696,0.000675,0.08
Na0.02Pb1.0Te0.75Se0.25,400,90,1450,2.154,0.00117,0.22
Na0.02Pb1.0Te0.75Se0.25,700,205,612,1.296,0.00258,1.39
Na0.02Pb1.0Te0.75Se0.25,300,59,1950,2.696,0.000675,0.08
Na0.02Pb1.0Te0.75Se0.25,400,90,1450,2.154,0.00117,0.22
Na0.02Pb1.0Te0.75Se0.25,700,205,612,1.296,0.00258,1.39
Na0.02Pb1.0Te0.85Se0.15,300,51,2420,3.014,0.000628,0.06
Na0.02Pb1.0Te0.85Se0.15,400,98,1620,2.218,0.00156,0.28
Na0.02Pb1.0Te0.85Se0.15,700,209,623,1.268,0.00272,1.5
Na0.02Pb1.0Te0.85Se0.15,300,51,2420,3.014,0.000628,0.06
Na0.02Pb1.0Te0.85Se0.15,400,98,1620,2.218,0.00156,0.28
Na0.02Pb1.0Te0.85Se0.15,700,209,623,1.268,0.00272,1.5
Na0.02Pb1.0Te1.0,300,62,2710,3.996,0.00106,0.08
Na0.02Pb1.0Te1.0,400,105,1760,2.675,0.00194,0.29
Na0.02Pb1.0Te1.0,700,213,584,1.393,0.00265,1.33
Pb0.96Sr0.4Te1.0Na0.2,300,81,1470,2.85,0.000966,0.1
Pb0.96Sr0.4Te1.0Na0.2,400,128,1180,2.126,0.00194,0.36
Pb0.96Sr0.4Te1.0Na0.2,700,239,471,1.18,0.00269,1.6
Pb0.98Sr0.2Te1.0Na0.1,300,68,2440,3.065,0.00113,0.11
Pb0.98Sr0.2Te1.0Na0.1,400,117,1420,2.23,0.00194,0.35
Pb0.98Sr0.2Te1.0Na0.1,700,263,332,1.03,0.0023,1.56
Pb0.98Te1.0Na0.2,300,64,2400,4.29,0.000983,0.07
Pb0.98Te1.0Na0.2,400,105,1740,3.18,0.00191,0.24
Pb0.98Te1.0Na0.2,700,236,444,1.44,0.00247,1.2
Sb0.005I0.015Cs0.995Bi3.98Te5.97,300,154,1180,1.5,0.0028,0.56
Sb2.0Te3.0,300,38,5260,3.378,0.00076,0.07
Sb2.0Te3.0,300,63,8200,5.205,0.00325,0.19
Tl0.01Pb0.99Te1.0,300,140,365,1.942,0.000719,0.11
Tl0.01Pb0.99Te1.0,400,201,282,1.552,0.00114,0.3
Tl0.01Pb0.99Te1.0,700,324,115,0.965,0.0012,0.87
Tl0.02Pb0.98Te1.0,300,136,418,2.168,0.000775,0.11
Tl0.02Pb0.98Te1.0,400,195,344,1.656,0.00131,0.32
Tl0.02Pb0.98Te1.0,700,328,186,1.01,0.002,1.39
Tl2.0Cu2.0Sn1.0Te4.0,300,345,0.00769,0.377,9.16E-08,0.0000729
Tl2.0Ge1.0Te5.0,300,285,43.2,9.07,0.000351,0.01
Tl2.0Sn1.0Te5.0,300,219,238,5.09,0.00114,0.07
Tl2.0Sn1.0Te5.0,300,163,231,6.75,0.000614,0.03
Tl9.0Bi1.0Te6.0,300,256,156,0.481,0.00102,0.64
Tl9.0Bi1.0Te6.0,400,338,89.5,0.409,0.00102,1
Bi1.2S4.0Ti2.0,300,-41,3090,2.94,0.000526,0.05
Bi1.2S4.0Ti2.0,400,-55,2000,2.41,0.000603,0.1
Bi1.2S4.0Ti2.0,700,-89,1050,2.11,0.000838,0.28
